time_ms,voltage,spike
132.50,-73.4080,0
133.00,-73.2599,0
133.50,-73.1115,0
134.00,-72.9628,0
134.50,-72.8139,0
135.00,-72.6648,0
135.50,-72.5154,0
136.00,-72.3657,0
136.50,-72.2157,0
137.00,-72.0654,0
137.50,-71.9147,0
138.00,-71.7636,0
138.50,-71.6120,0
139.00,-71.4600,0
139.50,-71.3075,0
140.00,-71.1544,0
140.50,-71.0008,0
141.00,-70.8465,0
141.50,-70.6916,0
142.00,-70.5359,0
142.50,-70.3794,0
143.00,-70.2221,0
143.50,-70.0639,0
144.00,-69.9048,0
144.50,-69.7446,0
145.00,-69.5834,0
145.50,-69.4210,0
146.00,-69.2573,0
146.50,-69.0923,0
147.00,-68.9258,0
147.50,-68.7578,0
148.00,-68.5882,0
148.50,-68.4168,0
149.00,-68.2435,0
149.50,-68.0682,0
150.00,-67.8908,0
150.50,-67.7109,0
151.00,-67.5286,0
151.50,-67.3435,0
152.00,-67.1555,0
152.50,-66.9643,0
153.00,-66.7696,0
153.50,-66.5712,0
154.00,-66.3687,0
154.50,-66.1618,0
155.00,-65.9500,0
155.50,-65.7328,0
156.00,-65.5098,0
156.50,-65.2802,0
157.00,-65.0435,0
157.50,-64.7987,0
158.00,-64.5450,0
158.50,-64.2813,0
159.00,-64.0063,0
159.50,-63.7184,0
160.00,-63.4159,0
160.50,-63.0966,0
161.00,-62.7578,0
161.50,-62.3963,0
162.00,-62.0079,0
162.50,-61.5877,0
163.00,-61.1291,0
163.50,-60.6235,0
164.00,-60.0600,0
164.50,-59.4234,0
165.00,-58.6929,0
165.50,-57.8391,0
166.00,-56.8188,0
166.50,-55.5668,0
167.00,-53.9795,0
167.50,-51.8834,0
168.00,-48.9689,0
168.50,-44.6327,0
169.00,-37.5626,0
169.50,-24.4332,0
170.00,5.2397,0
170.50,30.0000,1
171.00,-68.2407,0
171.50,-70.8799,0
172.00,-72.7038,0
172.50,-73.7779,0
173.00,-74.3175,0
173.50,-74.5345,0
174.00,-74.5748,0
174.50,-74.5230,0
175.00,-74.4242,0
175.50,-74.3016,0
176.00,-74.1667,0
176.50,-74.0256,0
177.00,-73.8812,0
177.50,-73.7351,0
178.00,-73.5880,0
178.50,-73.4403,0
179.00,-73.2922,0
179.50,-73.1438,0
180.00,-72.9952,0
180.50,-72.8464,0
181.00,-72.6973,0
181.50,-72.5479,0
182.00,-72.3983,0
182.50,-72.2484,0
183.00,-72.0981,0
183.50,-71.9475,0
184.00,-71.7965,0
184.50,-71.6450,0
185.00,-71.4931,0
185.50,-71.3408,0
186.00,-71.1878,0
186.50,-71.0343,0
187.00,-70.8802,0
187.50,-70.7254,0
188.00,-70.5698,0
188.50,-70.4135,0
189.00,-70.2564,0
189.50,-70.0984,0
190.00,-69.9395,0
190.50,-69.7796,0
191.00,-69.6186,0
191.50,-69.4564,0
192.00,-69.2930,0
192.50,-69.1283,0
193.00,-68.9622,0
193.50,-68.7945,0
194.00,-68.6253,0
194.50,-68.4543,0
195.00,-68.2814,0
195.50,-68.1066,0
196.00,-67.9296,0
196.50,-67.7503,0
197.00,-67.5685,0
197.50,-67.3841,0
198.00,-67.1967,0
198.50,-67.0062,0
199.00,-66.8123,0
199.50,-66.6148,0
200.00,-66.4132,0
200.50,-66.2073,0
201.00,-65.9966,0
201.50,-65.7806,0
202.00,-65.5589,0
202.50,-65.3308,0
203.00,-65.0957,0
203.50,-64.8527,0
204.00,-64.6011,0
204.50,-64.3397,0
205.00,-64.0673,0
205.50,-63.7823,0
206.00,-63.4832,0
206.50,-63.1677,0
207.00,-62.8334,0
207.50,-62.4772,0
208.00,-62.0951,0
208.50,-61.6823,0
209.00,-61.2326,0
209.50,-60.7382,0
210.00,-60.1884,0
210.50,-59.5693,0
211.00,-58.8614,0
211.50,-58.0375,0
212.00,-57.0581,0
212.50,-55.8638,0
213.00,-54.3612,0
213.50,-52.3961,0
214.00,-49.6974,0
214.50,-45.7477,0
215.00,-39.4517,0
215.50,-28.1362,0
216.00,-3.8266,0
216.50,30.0000,1
217.00,-68.2271,0
217.50,-70.8559,0
218.00,-72.6744,0
218.50,-73.7472,0
219.00,-74.2876,0
219.50,-74.5058,0
220.00,-74.5472,0
220.50,-74.4961,0
221.00,-74.3978,0
221.50,-74.2754,0
222.00,-74.1408,0
222.50,-73.9997,0
223.00,-73.8554,0
223.50,-73.7093,0
224.00,-73.5622,0
224.50,-73.4145,0
225.00,-73.2664,0
225.50,-73.1180,0
226.00,-72.9694,0
226.50,-72.8205,0
227.00,-72.6714,0
227.50,-72.5220,0
228.00,-72.3723,0
228.50,-72.2223,0
229.00,-72.0720,0
229.50,-71.9213,0
230.00,-71.7702,0
230.50,-71.6187,0
231.00,-71.4667,0
231.50,-71.3142,0
232.00,-71.1612,0
232.50,-71.0076,0
233.00,-70.8533,0
233.50,-70.6984,0
234.00,-70.5428,0
234.50,-70.3863,0
235.00,-70.2291,0
235.50,-70.0709,0
236.00,-69.9118,0
236.50,-69.7517,0
237.00,-69.5905,0
237.50,-69.4281,0
238.00,-69.2645,0
238.50,-69.0996,0
239.00,-68.9332,0
239.50,-68.7653,0
240.00,-68.5957,0
240.50,-68.4244,0
241.00,-68.2513,0
241.50,-68.0760,0
242.00,-67.8987,0
242.50,-67.7190,0
243.00,-67.5367,0
243.50,-67.3518,0
244.00,-67.1639,0
244.50,-66.9728,0
245.00,-66.7783,0
245.50,-66.5801,0
246.00,-66.3778,0
246.50,-66.1710,0
247.00,-65.9594,0
247.50,-65.7425,0
248.00,-65.5197,0
248.50,-65.2905,0
249.00,-65.0541,0
249.50,-64.8097,0
250.00,-64.5564,0
250.50,-64.2932,0
251.00,-64.0187,0
251.50,-63.7314,0
252.00,-63.4296,0
252.50,-63.1111,0
253.00,-62.7732,0
253.50,-62.4127,0
254.00,-62.0257,0
254.50,-61.6070,0
255.00,-61.1502,0
255.50,-60.6470,0
256.00,-60.0863,0
256.50,-59.4533,0
257.00,-58.7275,0
257.50,-57.8799,0
258.00,-56.8682,0
258.50,-55.6282,0
259.00,-54.0586,0
259.50,-51.9902,0
260.00,-49.1215,0
260.50,-44.8680,0
261.00,-37.9653,0
261.50,-25.2345,0
262.00,3.2314,0
262.50,30.0000,1
263.00,-68.2377,0
263.50,-70.8746,0
264.00,-72.6973,0
264.50,-73.7711,0
265.00,-74.3109,0
265.50,-74.5281,0
266.00,-74.5687,0
266.50,-74.5171,0
267.00,-74.4184,0
267.50,-74.2958,0
268.00,-74.1610,0
268.50,-74.0199,0
269.00,-73.8755,0
269.50,-73.7294,0
270.00,-73.5823,0
270.50,-73.4346,0
271.00,-73.2865,0
271.50,-73.1381,0
272.00,-72.9895,0
272.50,-72.8406,0
273.00,-72.6915,0
273.50,-72.5422,0
274.00,-72.3925,0
274.50,-72.2426,0
275.00,-72.0923,0
275.50,-71.9417,0
276.00,-71.7907,0
276.50,-71.6392,0
277.00,-71.4873,0
277.50,-71.3349,0
278.00,-71.1819,0
278.50,-71.0284,0
279.00,-70.8742,0
279.50,-70.7194,0
280.00,-70.5638,0
280.50,-70.4075,0
281.00,-70.2504,0
281.50,-70.0924,0
282.00,-69.9334,0
282.50,-69.7734,0
283.00,-69.6124,0
283.50,-69.4502,0
284.00,-69.2867,0
284.50,-69.1219,0
285.00,-68.9558,0
285.50,-68.7881,0
286.00,-68.6187,0
286.50,-68.4477,0
287.00,-68.2748,0
287.50,-68.0998,0
288.00,-67.9228,0
288.50,-67.7434,0
289.00,-67.5615,0
289.50,-67.3769,0
290.00,-67.1894,0
290.50,-66.9988,0
291.00,-66.8048,0
291.50,-66.6071,0
292.00,-66.4054,0
292.50,-66.1992,0
293.00,-65.9883,0
293.50,-65.7722,0
294.00,-65.5502,0
294.50,-65.3219,0
295.00,-65.0865,0
295.50,-64.8432,0
296.00,-64.5912,0
296.50,-64.3294,0
297.00,-64.0565,0
297.50,-63.7711,0
298.00,-63.4714,0
298.50,-63.1552,0
299.00,-62.8201,0
299.50,-62.4629,0
300.00,-62.0797,0
300.50,-61.6656,0
301.00,-61.2144,0
301.50,-60.7181,0
302.00,-60.1659,0
302.50,-59.5437,0
303.00,-58.8319,0
303.50,-58.0029,0
304.00,-57.0165,0
304.50,-55.8122,0
305.00,-54.2951,0
305.50,-52.3078,0
306.00,-49.5726,0
306.50,-45.5582,0
307.00,-39.1340,0
307.50,-27.5236,0
308.00,-2.3645,0
308.50,30.0000,1
309.00,-68.2293,0
309.50,-70.8597,0
310.00,-72.6791,0
310.50,-73.7522,0
311.00,-74.2924,0
311.50,-74.5104,0
312.00,-74.5516,0
312.50,-74.5005,0
313.00,-74.4021,0
313.50,-74.2796,0
314.00,-74.1449,0
314.50,-74.0039,0
315.00,-73.8596,0
315.50,-73.7135,0
316.00,-73.5664,0
316.50,-73.4186,0
317.00,-73.2706,0
317.50,-73.1222,0
318.00,-72.9736,0
318.50,-72.8247,0
319.00,-72.6756,0
319.50,-72.5262,0
320.00,-72.3765,0
320.50,-72.2265,0
321.00,-72.0762,0
321.50,-71.9255,0
322.00,-71.7745,0
322.50,-71.6230,0
323.00,-71.4710,0
323.50,-71.3185,0
324.00,-71.1655,0
324.50,-71.0119,0
325.00,-70.8577,0
325.50,-70.7028,0
326.00,-70.5471,0
326.50,-70.3907,0
327.00,-70.2335,0
327.50,-70.0754,0
328.00,-69.9163,0
328.50,-69.7562,0
329.00,-69.5950,0
329.50,-69.4327,0
330.00,-69.2691,0
330.50,-69.1042,0
331.00,-68.9378,0
331.50,-68.7700,0
332.00,-68.6005,0
332.50,-68.4292,0
333.00,-68.2561,0
333.50,-68.0809,0
334.00,-67.9036,0
334.50,-67.7240,0
335.00,-67.5418,0
335.50,-67.3569,0
336.00,-67.1692,0
336.50,-66.9782,0
337.00,-66.7838,0
337.50,-66.5857,0
338.00,-66.3835,0
338.50,-66.1769,0
339.00,-65.9654,0
339.50,-65.7487,0
340.00,-65.5261,0
340.50,-65.2970,0
341.00,-65.0608,0
341.50,-64.8167,0
342.00,-64.5637,0
342.50,-64.3007,0
343.00,-64.0266,0
343.50,-63.7397,0
344.00,-63.4383,0
344.50,-63.1203,0
345.00,-62.7830,0
345.50,-62.4232,0
346.00,-62.0369,0
346.50,-61.6192,0
347.00,-61.1636,0
347.50,-60.6618,0
348.00,-60.1029,0
348.50,-59.4722,0
349.00,-58.7493,0
349.50,-57.9056,0
350.00,-56.8992,0
350.50,-55.6668,0
351.00,-54.1084,0
351.50,-52.0572,0
352.00,-49.2170,0
352.50,-45.0147,0
353.00,-38.2153,0
353.50,-25.7288,0
354.00,2.0052,0
354.50,30.0000,1
355.00,-68.2358,0
355.50,-70.8713,0
356.00,-72.6933,0
356.50,-73.7670,0
357.00,-74.3068,0
357.50,-74.5242,0
358.00,-74.5649,0
358.50,-74.5134,0
359.00,-74.4148,0
359.50,-74.2922,0
360.00,-74.1574,0
360.50,-74.0164,0
361.00,-73.8720,0
361.50,-73.7259,0
362.00,-73.5788,0
362.50,-73.4311,0
363.00,-73.2830,0
363.50,-73.1346,0
364.00,-72.9860,0
364.50,-72.8371,0
365.00,-72.6880,0
365.50,-72.5387,0
366.00,-72.3890,0
366.50,-72.2391,0
367.00,-72.0888,0
367.50,-71.9382,0
368.00,-71.7871,0
368.50,-71.6357,0
369.00,-71.4837,0
369.50,-71.3313,0
370.00,-71.1783,0
370.50,-71.0247,0
371.00,-70.8706,0
371.50,-70.7157,0
372.00,-70.5602,0
372.50,-70.4038,0
373.00,-70.2467,0
373.50,-70.0886,0
374.00,-69.9296,0
374.50,-69.7696,0
375.00,-69.6085,0
375.50,-69.4463,0
376.00,-69.2828,0
376.50,-69.1180,0
377.00,-68.9518,0
377.50,-68.7841,0
378.00,-68.6147,0
378.50,-68.4436,0
379.00,-68.2707,0
379.50,-68.0957,0
380.00,-67.9186,0
380.50,-67.7391,0
381.00,-67.5572,0
381.50,-67.3725,0
382.00,-67.1850,0
382.50,-66.9943,0
383.00,-66.8002,0
383.50,-66.6024,0
384.00,-66.4006,0
384.50,-66.1943,0
385.00,-65.9833,0
385.50,-65.7670,0
386.00,-65.5449,0
386.50,-65.3164,0
387.00,-65.0809,0
387.50,-64.8374,0
388.00,-64.5852,0
388.50,-64.3231,0
389.00,-64.0500,0
389.50,-63.7642,0
390.00,-63.4641,0
390.50,-63.1476,0
391.00,-62.8120,0
391.50,-62.4542,0
392.00,-62.0704,0
392.50,-61.6555,0
393.00,-61.2034,0
393.50,-60.7058,0
394.00,-60.1522,0
394.50,-59.5282,0
395.00,-58.8139,0
395.50,-57.9817,0
396.00,-56.9910,0
396.50,-55.7807,0
397.00,-54.2547,0
397.50,-52.2537,0
398.00,-49.4960,0
398.50,-45.4416,0
399.00,-38.9379,0
399.50,-27.1432,0
400.00,-1.4491,0
400.50,30.0000,1
401.00,-68.2306,0
401.50,-70.8621,0
402.00,-72.6821,0
402.50,-73.7553,0
403.00,-74.2954,0
403.50,-74.5133,0
404.00,-74.5544,0
404.50,-74.5032,0
405.00,-74.4047,0
405.50,-74.2823,0
406.00,-74.1476,0
406.50,-74.0065,0
407.00,-73.8622,0
407.50,-73.7161,0
408.00,-73.5690,0
408.50,-73.4213,0
409.00,-73.2732,0
409.50,-73.1248,0
410.00,-72.9762,0
410.50,-72.8273,0
411.00,-72.6782,0
411.50,-72.5288,0
412.00,-72.3791,0
412.50,-72.2292,0
413.00,-72.0788,0
413.50,-71.9282,0
414.00,-71.7771,0
414.50,-71.6256,0
415.00,-71.4736,0
415.50,-71.3212,0
416.00,-71.1682,0
416.50,-71.0146,0
417.00,-70.8604,0
417.50,-70.7055,0
418.00,-70.5499,0
418.50,-70.3935,0
419.00,-70.2362,0
419.50,-70.0781,0
420.00,-69.9191,0
420.50,-69.7590,0
421.00,-69.5979,0
421.50,-69.4355,0
422.00,-69.2720,0
422.50,-69.1071,0
423.00,-68.9408,0
423.50,-68.7729,0
424.00,-68.6035,0
424.50,-68.4323,0
425.00,-68.2592,0
425.50,-68.0840,0
426.00,-67.9068,0
426.50,-67.7272,0
427.00,-67.5451,0
427.50,-67.3602,0
428.00,-67.1725,0
428.50,-66.9816,0
429.00,-66.7872,0
429.50,-66.5892,0
430.00,-66.3871,0
430.50,-66.1805,0
431.00,-65.9692,0
431.50,-65.7525,0
432.00,-65.5300,0
432.50,-65.3011,0
433.00,-65.0650,0
433.50,-64.8210,0
434.00,-64.5682,0
434.50,-64.3054,0
435.00,-64.0315,0
435.50,-63.7448,0
436.00,-63.4437,0
436.50,-63.1260,0
437.00,-62.7890,0
437.50,-62.4297,0
438.00,-62.0439,0
438.50,-61.6268,0
439.00,-61.1719,0
439.50,-60.6710,0
440.00,-60.1132,0
440.50,-59.4839,0
441.00,-58.7629,0
441.50,-57.9216,0
442.00,-56.9185,0
442.50,-55.6908,0
443.00,-54.1392,0
443.50,-52.0987,0
444.00,-49.2759,0
444.50,-45.1052,0
445.00,-38.3691,0
445.50,-26.0316,0
446.00,1.2590,0
446.50,30.0000,1
447.00,-68.2347,0
447.50,-70.8693,0
448.00,-72.6909,0
448.50,-73.7644,0
449.00,-74.3043,0
449.50,-74.5219,0
450.00,-74.5626,0
450.50,-74.5112,0
451.00,-74.4126,0
451.50,-74.2901,0
452.00,-74.1553,0
452.50,-74.0142,0
453.00,-73.8699,0
453.50,-73.7238,0
454.00,-73.5766,0
454.50,-73.4290,0
455.00,-73.2809,0
455.50,-73.1325,0
456.00,-72.9839,0
456.50,-72.8350,0
457.00,-72.6859,0
457.50,-72.5365,0
458.00,-72.3869,0
458.50,-72.2369,0
459.00,-72.0866,0
459.50,-71.9360,0
460.00,-71.7849,0
460.50,-71.6335,0
461.00,-71.4815,0
461.50,-71.3291,0
462.00,-71.1761,0
462.50,-71.0226,0
463.00,-70.8684,0
463.50,-70.7135,0
464.00,-70.5580,0
464.50,-70.4016,0
465.00,-70.2444,0
465.50,-70.0864,0
466.00,-69.9274,0
466.50,-69.7673,0
467.00,-69.6062,0
467.50,-69.4440,0
468.00,-69.2805,0
468.50,-69.1157,0
469.00,-68.9494,0
469.50,-68.7817,0
470.00,-68.6123,0
470.50,-68.4412,0
471.00,-68.2682,0
471.50,-68.0932,0
472.00,-67.9160,0
472.50,-67.7365,0
473.00,-67.5546,0
473.50,-67.3699,0
474.00,-67.1823,0
474.50,-66.9915,0
475.00,-66.7974,0
475.50,-66.5995,0
476.00,-66.3976,0
476.50,-66.1914,0
477.00,-65.9802,0
477.50,-65.7639,0
478.00,-65.5417,0
478.50,-65.3131,0
479.00,-65.0774,0
479.50,-64.8339,0
480.00,-64.5815,0
480.50,-64.3193,0
481.00,-64.0459,0
481.50,-63.7600,0
482.00,-63.4597,0
482.50,-63.1429,0
483.00,-62.8070,0
483.50,-62.4489,0
484.00,-62.0646,0
484.50,-61.6493,0
485.00,-61.1965,0
485.50,-60.6983,0
486.00,-60.1438,0
486.50,-59.5186,0
487.00,-58.8029,0
487.50,-57.9688,0
488.00,-56.9754,0
488.50,-55.7613,0
489.00,-54.2298,0
489.50,-52.2203,0
490.00,-49.4487,0
490.50,-45.3695,0
491.00,-38.8164,0
491.50,-26.9068,0
492.00,-0.8773,0
492.50,30.0000,1
493.00,-68.2315,0
493.50,-70.8637,0
494.00,-72.6840,0
494.50,-73.7572,0
495.00,-74.2973,0
495.50,-74.5151,0
496.00,-74.5561,0
496.50,-74.5049,0
497.00,-74.4064,0
497.50,-74.2839,0
498.00,-74.1492,0
498.50,-74.0082,0
499.00,-73.8638,0
499.50,-73.7177,0
500.00,-73.5706,0
500.50,-73.4229,0
501.00,-73.2748,0
501.50,-73.1264,0
502.00,-72.9778,0
502.50,-72.8289,0
503.00,-72.6798,0
503.50,-72.5304,0
504.00,-72.3808,0
504.50,-72.2308,0
505.00,-72.0805,0
505.50,-71.9298,0
506.00,-71.7788,0
506.50,-71.6273,0
507.00,-71.4753,0
507.50,-71.3229,0
508.00,-71.1698,0
508.50,-71.0163,0
509.00,-70.8621,0
509.50,-70.7072,0
510.00,-70.5516,0
510.50,-70.3952,0
511.00,-70.2380,0
511.50,-70.0799,0
512.00,-69.9208,0
512.50,-69.7608,0
513.00,-69.5996,0
513.50,-69.4373,0
514.00,-69.2738,0
514.50,-69.1089,0
515.00,-68.9426,0
515.50,-68.7748,0
516.00,-68.6053,0
516.50,-68.4341,0
517.00,-68.2611,0
517.50,-68.0860,0
518.00,-67.9087,0
518.50,-67.7292,0
519.00,-67.5471,0
519.50,-67.3623,0
520.00,-67.1746,0
520.50,-66.9837,0
521.00,-66.7894,0
521.50,-66.5914,0
522.00,-66.3893,0
522.50,-66.1828,0
523.00,-65.9715,0
523.50,-65.7549,0
524.00,-65.5325,0
524.50,-65.3036,0
525.00,-65.0676,0
525.50,-64.8237,0
526.00,-64.5710,0
526.50,-64.3083,0
527.00,-64.0345,0
527.50,-63.7480,0
528.00,-63.4471,0
528.50,-63.1296,0
529.00,-62.7929,0
529.50,-62.4338,0
530.00,-62.0483,0
530.50,-61.6316,0
531.00,-61.1771,0
531.50,-60.6768,0
532.00,-60.1197,0
532.50,-59.4913,0
533.00,-58.7714,0
533.50,-57.9316,0
534.00,-56.9306,0
534.50,-55.7058,0
535.00,-54.1585,0
535.50,-52.1245,0
536.00,-49.3127,0
536.50,-45.1615,0
537.00,-38.4647,0
537.50,-26.2193,0
538.00,0.7982,0
538.50,30.0000,1
539.00,-68.2340,0
539.50,-70.8681,0
540.00,-72.6894,0
540.50,-73.7629,0
541.00,-74.3028,0
541.50,-74.5204,0
542.00,-74.5612,0
542.50,-74.5098,0
543.00,-74.4113,0
543.50,-74.2888,0
544.00,-74.1540,0
544.50,-74.0129,0
545.00,-73.8686,0
545.50,-73.7224,0
546.00,-73.5753,0
546.50,-73.4276,0
547.00,-73.2795,0
547.50,-73.1312,0
548.00,-72.9826,0
548.50,-72.8337,0
549.00,-72.6846,0
549.50,-72.5352,0
550.00,-72.3856,0
550.50,-72.2356,0
551.00,-72.0853,0
551.50,-71.9347,0
552.00,-71.7836,0
552.50,-71.6321,0
553.00,-71.4802,0
553.50,-71.3278,0
554.00,-71.1748,0
554.50,-71.0212,0
555.00,-70.8670,0
555.50,-70.7121,0
556.00,-70.5566,0
556.50,-70.4002,0
557.00,-70.2430,0
557.50,-70.0850,0
558.00,-69.9259,0
558.50,-69.7659,0
559.00,-69.6048,0
559.50,-69.4426,0
560.00,-69.2790,0
560.50,-69.1142,0
561.00,-68.9480,0
561.50,-68.7802,0
562.00,-68.6108,0
562.50,-68.4396,0
563.00,-68.2666,0
563.50,-68.0916,0
564.00,-67.9144,0
564.50,-67.7349,0
565.00,-67.5529,0
565.50,-67.3682,0
566.00,-67.1806,0
566.50,-66.9898,0
567.00,-66.7957,0
567.50,-66.5978,0
568.00,-66.3958,0
568.50,-66.1895,0
569.00,-65.9784,0
569.50,-65.7619,0
570.00,-65.5397,0
570.50,-65.3110,0
571.00,-65.0753,0
571.50,-64.8317,0
572.00,-64.5792,0
572.50,-64.3169,0
573.00,-64.0435,0
573.50,-63.7574,0
574.00,-63.4570,0
574.50,-63.1400,0
575.00,-62.8040,0
575.50,-62.4456,0
576.00,-62.0611,0
576.50,-61.6455,0
577.00,-61.1924,0
577.50,-60.6936,0
578.00,-60.1386,0
578.50,-59.5127,0
579.00,-58.7961,0
579.50,-57.9607,0
580.00,-56.9657,0
580.50,-55.7493,0
581.00,-54.2144,0
581.50,-52.1996,0
